ori,counties,is_nibrs,latitude,longitude,state_abbr,state_name,agency_name,agency_type_name,nibrs_start_date,parish
LA0290600,LAFOURCHE,False,29.491992,-90.394849,LA,Louisiana,Nicholls State University,University or College,,LAFOURCHE
LA0290000,LAFOURCHE,True,29.491992,-90.394849,LA,Louisiana,Lafourche Parish Sheriff's Office,County,2015-01-01,LAFOURCHE
LA0340000,MOREHOUSE,True,32.775772,-91.91325,LA,Louisiana,Morehouse Parish Sheriff's Office,County,2003-01-01,MOREHOUSE
LA0340100,MOREHOUSE,True,32.777275,-91.913185,LA,Louisiana,Bastrop Police Department,City,2021-01-01,MOREHOUSE
LA0410000,RED RIVER,False,32.014977,-93.34033,LA,Louisiana,Red River Parish Sheriff's Office,County,,RED RIVER
LA0410100,RED RIVER,False,32.101213,-93.34905,LA,Louisiana,Coushatta Police Department,City,,RED RIVER
LA0460200,ST HELENA,True,30.821423,-90.70935,LA,Louisiana,Montpelier Police Department,City,2021-01-01,ST HELENA
LA0460000,ST HELENA,True,30.821423,-90.70935,LA,Louisiana,St. Helena Parish Sheriff's Office,County,2013-01-01,ST HELENA
LA0460100,ST HELENA,True,30.821423,-90.70935,LA,Louisiana,Greensburg Police Department,City,2020-12-01,ST HELENA
LA0490700,ST LANDRY,False,,,LA,Louisiana,Melville,,,ST LANDRY
LA0490800,ST LANDRY,True,30.583441,-91.989274,LA,Louisiana,Krotz Springs Police Department,City,2017-08-01,ST LANDRY
LA0490000,ST LANDRY,True,30.534416,-92.08396,LA,Louisiana,St. Landry Parish Sheriff's Office,County,2021-01-01,ST LANDRY
LA0491300,ST LANDRY,True,30.583441,-91.989274,LA,Louisiana,Louisiana State University: Eunice,University or College,2020-02-01,ST LANDRY
LA0490200,ST LANDRY,True,30.53644,-92.08239,LA,Louisiana,Opelousas Police Department,City,2021-01-01,ST LANDRY
LA0490500,ST LANDRY,False,30.583441,-91.989274,LA,Louisiana,Washington Police Department,City,,ST LANDRY
LA0490600,ST LANDRY,False,30.583441,-91.989274,LA,Louisiana,Port Barre Police Department,City,,ST LANDRY
LA0500200,ST MARTIN,False,30.121433,-91.611481,LA,Louisiana,St. Martinville Police Department,City,,ST MARTIN
LA0500100,ST MARTIN,False,30.121433,-91.611481,LA,Louisiana,Breaux Bridge Police Department,City,,ST MARTIN
LA0500000,ST MARTIN,True,30.121433,-91.611481,LA,Louisiana,St. Martin Parish Sheriff's Office,County,2021-01-01,ST MARTIN
LA0570400,VERMILION,True,29.956594,-92.0347,LA,Louisiana,Erath Police Department,City,2020-04-01,VERMILION
LA0570200,VERMILION,False,30.00095,-92.28434,LA,Louisiana,Kaplan Police Department,City,,VERMILION
LA0570100,VERMILION,True,29.786872,-92.29009,LA,Louisiana,Abbeville Police Department,City,2020-12-01,VERMILION
LA0570000,VERMILION,True,29.786872,-92.29009,LA,Louisiana,Vermilion Parish Sheriff's Office,County,2021-01-01,VERMILION
LA0040000,ASSUMPTION,False,29.899884,-91.050528,LA,Louisiana,Assumption Parish Sheriff's Office,County,,ASSUMPTION
LA0060200,BEAUREGARD,False,30.645018,-93.340253,LA,Louisiana,Merryville Police Department,City,,BEAUREGARD
LA0060000,BEAUREGARD,True,30.645018,-93.340253,LA,Louisiana,Beauregard Parish Sheriff's Office,County,2021-01-01,BEAUREGARD
LA0200100,EVANGELINE,True,30.720693,-92.404086,LA,Louisiana,Basile Police Department,City,2004-01-01,EVANGELINE
LA0200200,EVANGELINE,True,30.720693,-92.404086,LA,Louisiana,Mamou Police Department,City,2003-09-01,EVANGELINE
LA0200300,EVANGELINE,False,30.720693,-92.404086,LA,Louisiana,Ville Platte Police Department,City,,EVANGELINE
LA0200600,EVANGELINE,True,,,LA,Louisiana,Chataignier,,2022-02-01,EVANGELINE
LA0200000,EVANGELINE,True,30.689276,-92.278015,LA,Louisiana,Evangeline Parish Sheriff's Office,County,2008-01-01,EVANGELINE
LA0320100,LIVINGSTON,False,30.440419,-90.727474,LA,Louisiana,Denham Springs Police Department,City,,LIVINGSTON
LA0320200,LIVINGSTON,True,30.440419,-90.727474,LA,Louisiana,Livingston Police Department,City,2022-01-01,LIVINGSTON
LA0320300,LIVINGSTON,True,30.440419,-90.727474,LA,Louisiana,Walker Police Department,City,2021-01-01,LIVINGSTON
LA0320000,LIVINGSTON,True,30.440419,-90.727474,LA,Louisiana,Livingston Parish Sheriff's Office,County,2021-01-01,LIVINGSTON
LA0440000,ST BERNARD,True,29.91811,-89.263494,LA,Louisiana,St. Bernard Parish Sheriff's Office,County,2021-01-01,ST BERNARD
